No,card,age,sex,withdrawal_days,count,CP
681,B,25,1,#VALUE!,1,1
682,A,21,1,#VALUE!,1,1
683,A,26,1,#VALUE!,1,1
684,B,27,1,#VALUE!,1,1
685,B,23,1,#VALUE!,1,1
686,B,56,1,#VALUE!,1,1
687,B,26,1,#VALUE!,1,1
688,B,29,1,569,1,1
689,B,28,1,#VALUE!,1,1
690,B,31,1,#VALUE!,1,1
691,B,29,1,#VALUE!,1,1
692,B,27,1,#VALUE!,1,1
693,B,34,1,#VALUE!,1,1
694,B,30,1,#VALUE!,1,1
695,B,38,0,#VALUE!,1,1
696,B,25,1,363,1,1
697,B,22,1,#VALUE!,1,1
698,A,23,1,69,1,1
699,B,28,1,#VALUE!,1,1
700,B,49,1,#VALUE!,1,1
701,A,81,0,#VALUE!,1,1
702,B,26,1,#VALUE!,1,1
703,B,21,1,#VALUE!,1,1
704,B,57,1,#VALUE!,1,1
705,B,25,0,#VALUE!,1,1
706,B,50,0,#VALUE!,1,1
707,B,48,1,#VALUE!,1,1
708,B,25,1,#VALUE!,1,1
709,B,58,1,667,1,1
710,B,33,1,#VALUE!,1,1
711,R,23,0,#VALUE!,1,1
712,B,28,1,#VALUE!,1,1
713,B,72,1,#VALUE!,1,1
714,B,44,1,#VALUE!,1,1
715,B,49,0,#VALUE!,1,1
716,B,26,1,#VALUE!,1,1
717,B,24,1,#VALUE!,1,1
718,R,32,1,251,1,1
719,B,23,0,#VALUE!,1,1
720,B,26,1,#VALUE!,1,1
721,B,29,0,#VALUE!,1,1
722,B,56,1,#VALUE!,1,1
723,B,29,1,#VALUE!,1,1
724,B,41,0,#VALUE!,1,1
725,B,66,0,#VALUE!,1,1
726,B,21,0,#VALUE!,1,1
727,B,28,1,#VALUE!,1,1
728,B,22,1,#VALUE!,1,1
729,B,31,0,#VALUE!,1,1
730,B,29,1,625,1,1
731,B,58,1,446,1,1
732,B,58,1,#VALUE!,1,1
733,B,28,0,138,1,1
734,B,51,1,#VALUE!,1,1
735,B,67,1,#VALUE!,1,1
736,B,60,1,312,1,1
737,B,29,1,#VALUE!,1,1
738,B,22,1,#VALUE!,1,1
739,B,55,1,#VALUE!,1,1
740,B,31,1,#VALUE!,1,1
741,A,25,1,#VALUE!,1,1
742,B,33,1,#VALUE!,1,1
743,B,22,1,#VALUE!,1,1
744,B,32,1,#VALUE!,1,1
745,B,25,1,#VALUE!,1,1
746,B,28,1,#VALUE!,1,1
747,B,21,1,#VALUE!,1,1
748,B,58,1,#VALUE!,1,1
749,B,28,1,#VALUE!,1,1
750,B,65,1,#VALUE!,1,1
751,B,59,1,#VALUE!,1,1
752,B,37,1,#VALUE!,1,1
753,B,31,1,#VALUE!,1,1
754,B,22,1,#VALUE!,1,1
755,B,25,1,#VALUE!,1,1
756,B,24,0,695,1,1
757,B,28,1,#VALUE!,1,1
758,B,26,0,#VALUE!,1,1
759,B,22,1,117,1,1
